"speccode","english_name","scientific_name","taxonomic_rank"
380,"Cetti's Warbler","Cettia cetti","Species"
381,"Fan-tailed Warbler","Cisticola juncidis","Species"
384,"Grasshopper Warbler","Locustella naevia","Species"
385,"River Warbler","Locustella fluviatilis","Species"
386,"Savi's Warbler","Locustella luscinioides","Species"
389,"Sedge Warbler","Acrocephalus schoenobaenus","Species"
391,"Blyth's Reed Warbler","Acrocephalus dumetorum","Species"
392,"Marsh Warbler","Acrocephalus palustris","Species"
393,"Reed Warbler","Acrocephalus scirpaceus","Species"
394,"Great Reed Warbler","Acrocephalus arundinaceus","Species"
398,"Icterine Warbler","Hippolais icterina","Species"
399,"Melodious Warbler","Hippolais polyglotta","Species"
400,"Marmora's Warbler","Sylvia sarda","Species"
401,"Dartford Warbler","Sylvia undata","Species"
402,"Spectacled Warbler","Sylvia conspicillata","Species"
403,"Subalpine/Moltoni's Warbler","Sylvia cantillans/subalpina","Species aggregate"
404,"Sardinian Warbler","Sylvia melanocephala","Species"
408,"Barred Warbler","Sylvia nisoria","Species"
409,"Lesser Whitethroat","Sylvia curruca","Species"
410,"Whitethroat","Sylvia communis","Species"
411,"Garden Warbler","Sylvia borin","Species"
412,"Blackcap","Sylvia atricapilla","Species"
414,"Greenish Warbler","Phylloscopus trochiloides","Species"
415,"Arctic Warbler","Phylloscopus borealis","Species"
416,"Pallas's Warbler","Phylloscopus proregulus","Species"
417,"Yellow-browed Warbler","Phylloscopus inornatus","Species"
418,"Radde's Warbler","Phylloscopus schwarzi","Species"
419,"Dusky Warbler","Phylloscopus fuscatus","Species"
420,"Western Bonelli's Warbler","Phylloscopus bonelli","Species"
421,"Wood Warbler","Phylloscopus sibilatrix","Species"
422,"Chiffchaff","Phylloscopus collybita","Species"
423,"Willow Warbler","Phylloscopus trochilus","Species"
424,"Goldcrest","Regulus regulus","Species"
425,"Firecrest","Regulus ignicapilla","Species"
426,"Spotted Flycatcher","Muscicapa striata","Species"
427,"Red-breasted Flycatcher","Ficedula parva","Species"
429,"Pied Flycatcher","Ficedula hypoleuca","Species"
430,"Bearded Tit","Panurus biarmicus","Species"
431,"Long-tailed Tit","Aegithalos caudatus","Species"
432,"Marsh Tit","Poecile palustris","Species"
433,"Willow Tit","Poecile montanus","Species"
434,"Crested Tit","Lophophanes cristatus","Species"
435,"Coal Tit","Periparus ater","Species"
436,"Blue Tit","Cyanistes caeruleus","Species"
437,"Great Tit","Parus major","Species"
